user id, start time, success time, nanoseconds to first success, completion time, nanoseconds to last error
74, 1572978520179056964, 1572978521810493870, 1631436906, 1572978521841109672, 1662052708
20, 1572978465528638828, 1572978467852814587, 2324175759, 1572978467877667410, 2349028582
91, 1572978537518666521, 1572978539294031373, 1775364852, 1572978539309823893, 1791157372
97, 1572978543535912837, 1572978545864586883, 2328674046, 1572978545943268831, 2407355994
40, 1572978485714801831, 1572978488036286094, 2321484263, 1572978488216826320, 2502024489
59, 1572978504956892590, 1572978507997587227, 3040694637, 1572978508010854684, 3053962094
35, 1572978480658312553, 1572978482274839033, 1616526480, 1572978482293784995, 1635472442
13, 1572978458407248049, 1572978460381078316, 1973830267, 1572978460462251134, 2055003085
28, 1572978473566231490, 1572978476023653087, 2457421597, 1572978476059170783, 2492939293
1, 1572978446201661748, 1572978448251682902, 2050021154, 1572978448262500140, 2060838392
12, 1572978457369228929, 1572978459320895983, 1951667054, 1572978459323478520, 1954249591
30, 1572978475638143162, 1572978478426145160, 2788001998, 1572978478586741795, 2948598633
39, 1572978484712425303, 1572978487332456699, 2620031396, 1572978487382928399, 2670503096
42, 1572978487733807743, 1572978489076166614, 1342358871, 1572978489081347304, 1347539561
69, 1572978515115590452, 1572978517366507515, 2250917063, 1572978517514216522, 2398626070
72, 1572978518211408184, 1572978520949634148, 2738225964, 1572978520999391654, 2787983470
0, 1572978445200309868, 1572978447048676255, 1848366387, 1572978447102442897, 1902133029
75, 1572978521215375388, 1572978522884837798, 1669462410, 1572978522923533198, 1708157810
60, 1572978505971848910, 1572978508776661869, 2804812959, 1572978508797741226, 2825892316
3, 1572978448238917936, 1572978450430211234, 2191293298, 1572978450573010076, 2334092140
79, 1572978525277924123, 1572978527183818626, 1905894503, 1572978527233795539, 1955871416
26, 1572978471540148064, 1572978473887875158, 2347727094, 1572978473892755879, 2352607815
48, 1572978493873560244, 1572978496140457556, 2266897312, 1572978496266509845, 2392949601
